,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
12,3,3,"{'max_depth': 3, 'colsample_bytree': 0.681797833969823, 'n_estimators': 72, 'lambda': 75.08820292946696, 'alpha': 1.5344073910435134, 'learning_rate': 0.06801536754538762, 'min_child_weight': 15, 'subsample': 0.5567760284821187}",0.24725272958186995,7.901220894139268,6.2103445572260565,0.5043092437591049,0.4651152073110514
25,6,1,"{'max_depth': 3, 'colsample_bytree': 0.8141139211441707, 'n_estimators': 92, 'lambda': 0.00888424508377031, 'alpha': 0.06384734468620752, 'learning_rate': 0.018096474276845242, 'min_child_weight': 20, 'subsample': 0.6878608109583467}",0.23130564412283405,8.392275301951017,6.0818953937327365,0.503561148620403,0.49346337894712716
43,9,4,"{'max_depth': 5, 'colsample_bytree': 0.9648636912245198, 'n_estimators': 74, 'lambda': 0.006147886622988281, 'alpha': 14.166814948522857, 'learning_rate': 0.02409122103140024, 'min_child_weight': 18, 'subsample': 0.6308315832338277}",0.22092045455618192,9.493866993394704,6.7550680623252015,0.5022974874704088,0.49742147299821543
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.8768925453018075, 'n_estimators': 111, 'lambda': 59.80996298995106, 'alpha': 0.723280623173155, 'learning_rate': 0.04323702163581676, 'min_child_weight': 20, 'subsample': 0.5727119066536294}",0.2014139089845396,8.789276643265522,6.370448428498217,0.4584137260446397,0.46811489020359603
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.7727142397928378, 'n_estimators': 70, 'lambda': 6.0736366061673595, 'alpha': 77.84649766744214, 'learning_rate': 0.05350521997255576, 'min_child_weight': 12, 'subsample': 0.5298599336069783}",0.20027475977806453,7.869977840403231,6.134558508382041,0.4716454484940392,0.4730494879990595
33,7,4,"{'max_depth': 3, 'colsample_bytree': 0.7920976601386327, 'n_estimators': 256, 'lambda': 21.617020382811624, 'alpha': 0.0038374600817624002, 'learning_rate': 0.010112348328259144, 'min_child_weight': 1, 'subsample': 0.7737968531346483}",0.19691848811566648,9.389213134109475,6.874023651935645,0.4603405264007942,0.4930884636508279
20,5,1,"{'max_depth': 3, 'colsample_bytree': 0.6472794496372425, 'n_estimators': 124, 'lambda': 0.9156036614360199, 'alpha': 0.6779404106674074, 'learning_rate': 0.023939007132657703, 'min_child_weight': 17, 'subsample': 0.5201195078730146}",0.19219002611197522,9.901102542876588,6.872349518996018,0.4416841824460154,0.42432909261386537
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.9764723231603801, 'n_estimators': 242, 'lambda': 19.97131561112575, 'alpha': 0.02273377922681444, 'learning_rate': 0.015172532076031149, 'min_child_weight': 18, 'subsample': 0.9543327022722232}",0.1917946037024736,12.569162721016296,8.183583186222958,0.4991423541710612,0.47648355469569426
11,3,2,"{'max_depth': 3, 'colsample_bytree': 0.8987557271865788, 'n_estimators': 65, 'lambda': 20.601679491231334, 'alpha': 3.918202095977599, 'learning_rate': 0.04114406569877612, 'min_child_weight': 3, 'subsample': 0.749854381637388}",0.19139488597401888,12.059997722820395,7.880706290521565,0.5342945480083103,0.5366830799952715
46,10,2,"{'max_depth': 7, 'colsample_bytree': 0.7363419104930071, 'n_estimators': 146, 'lambda': 99.36576800517359, 'alpha': 27.26444178694955, 'learning_rate': 0.052749919222692794, 'min_child_weight': 9, 'subsample': 0.715134370692382}",0.18441709668271156,9.565942389961126,6.881404690488556,0.43313612368773624,0.43875390027026817
45,10,1,"{'max_depth': 3, 'colsample_bytree': 0.9812406690473088, 'n_estimators': 51, 'lambda': 48.95278081660019, 'alpha': 42.68614955345188, 'learning_rate': 0.09616635029482548, 'min_child_weight': 19, 'subsample': 0.963100552730259}",0.1843065521566466,9.566954861075583,7.339546175398064,0.4309639061004324,0.4242045330440603
34,7,5,"{'max_depth': 3, 'colsample_bytree': 0.6209072901414544, 'n_estimators': 284, 'lambda': 3.030566921759029, 'alpha': 0.003187394728874302, 'learning_rate': 0.010129106038829001, 'min_child_weight': 17, 'subsample': 0.6276585055347799}",0.18267503596839718,11.300112316494024,7.459216778094952,0.4648460316026889,0.5113954684456573
40,9,1,"{'max_depth': 3, 'colsample_bytree': 0.9758758233009089, 'n_estimators': 100, 'lambda': 0.2143595413635583, 'alpha': 6.720748566224686, 'learning_rate': 0.022274828862061273, 'min_child_weight': 18, 'subsample': 0.527757343553689}",0.18183166692342922,10.632158035003501,7.417115296132466,0.44197847992254113,0.4716656315664733
35,8,1,"{'max_depth': 3, 'colsample_bytree': 0.8186530365888165, 'n_estimators': 284, 'lambda': 1.2952978977505751, 'alpha': 14.045777199247063, 'learning_rate': 0.011844949457996582, 'min_child_weight': 17, 'subsample': 0.5102340461107752}",0.17704535681567124,10.850267245993836,7.442082032649474,0.4395998227670315,0.48796421670734613
21,5,2,"{'max_depth': 10, 'colsample_bytree': 0.6996467779589609, 'n_estimators': 91, 'lambda': 0.2764410714727886, 'alpha': 28.76897525806481, 'learning_rate': 0.029687706101739812, 'min_child_weight': 16, 'subsample': 0.5399905450138811}",0.1751454041378766,9.257830231582677,7.010556700666981,0.43342732056160493,0.44259409724296267
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.7300304144416294, 'n_estimators': 53, 'lambda': 3.8179438518730198, 'alpha': 0.0013112949743562265, 'learning_rate': 0.060200390113533134, 'min_child_weight': 20, 'subsample': 0.8901453334694991}",0.17344467422039578,12.298860465816631,7.2724311648035895,0.4432591274227657,0.43640067499763735
23,5,4,"{'max_depth': 3, 'colsample_bytree': 0.9571836261912534, 'n_estimators': 162, 'lambda': 0.008609443675916786, 'alpha': 0.32112367429426775, 'learning_rate': 0.017384495387191723, 'min_child_weight': 17, 'subsample': 0.6249325496016959}",0.16854580463473678,12.382650762191847,7.755953856473844,0.41946425179947744,0.43993780244182007
37,8,3,"{'max_depth': 5, 'colsample_bytree': 0.736871305398488, 'n_estimators': 211, 'lambda': 3.7166746224707214, 'alpha': 0.032684673903610025, 'learning_rate': 0.014303755968726298, 'min_child_weight': 3, 'subsample': 0.5000577539663058}",0.16735532354452554,12.071271181368788,7.300809645793847,0.422776000951553,0.3853027700308918
29,6,5,"{'max_depth': 3, 'colsample_bytree': 0.6942120963680328, 'n_estimators': 75, 'lambda': 0.0022289084424010636, 'alpha': 9.62463055919356, 'learning_rate': 0.032322946222361676, 'min_child_weight': 20, 'subsample': 0.7945638196942042}",0.16076062743241748,12.995413979959343,7.949629219326042,0.44687541045850676,0.4282018082799971
42,9,3,"{'max_depth': 3, 'colsample_bytree': 0.9808324682534937, 'n_estimators': 94, 'lambda': 0.0016306867759950312, 'alpha': 7.700054046997729, 'learning_rate': 0.017443518953043212, 'min_child_weight': 13, 'subsample': 0.6223811360176531}",0.1590225979906672,8.899179204104055,6.809498414485412,0.39917899493168474,0.3774300744936212
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.60634227891236, 'n_estimators': 66, 'lambda': 0.04700090056031218, 'alpha': 4.540546899511097, 'learning_rate': 0.030819827930195, 'min_child_weight': 12, 'subsample': 0.6789591612320245}",0.15715395213401762,11.576753740736905,7.822965260793471,0.45493600192583245,0.42554106294803773
15,4,1,"{'max_depth': 9, 'colsample_bytree': 0.6028264164802642, 'n_estimators': 113, 'lambda': 62.80305974874391, 'alpha': 51.98697422724686, 'learning_rate': 0.06394525562357087, 'min_child_weight': 19, 'subsample': 0.5120953200910661}",0.15693118544276197,10.46169701152299,6.735938732440655,0.40194429431128914,0.431561851867298
28,6,4,"{'max_depth': 3, 'colsample_bytree': 0.7695692842196371, 'n_estimators': 219, 'lambda': 0.06723771779067453, 'alpha': 0.003553672260051486, 'learning_rate': 0.010984070548679047, 'min_child_weight': 19, 'subsample': 0.6125797020634574}",0.1517113968337922,10.374993521888252,7.118070173545702,0.39003605045365664,0.4506114055971797
16,4,2,"{'max_depth': 3, 'colsample_bytree': 0.6558449845103098, 'n_estimators': 59, 'lambda': 41.118869446429635, 'alpha': 0.06506496874509222, 'learning_rate': 0.0803038025851132, 'min_child_weight': 20, 'subsample': 0.9824908121459139}",0.14949180349301683,8.429789026822302,6.180086491375985,0.40198669886217636,0.4495737259587069
4,1,5,"{'max_depth': 8, 'colsample_bytree': 0.9417507194117694, 'n_estimators': 71, 'lambda': 0.08825059081154807, 'alpha': 5.444344859226865, 'learning_rate': 0.020871055858054075, 'min_child_weight': 17, 'subsample': 0.568204647878067}",0.1442744506676077,11.3009348447593,7.571573370307155,0.41776783493446235,0.4374075874843588
1,1,2,"{'max_depth': 3, 'colsample_bytree': 0.6881516982836218, 'n_estimators': 296, 'lambda': 40.19323472481399, 'alpha': 0.4570618084012973, 'learning_rate': 0.010543606911904039, 'min_child_weight': 2, 'subsample': 0.6291719813967462}",0.14280524032867192,12.573303095063341,7.539235696284728,0.41722963116686956,0.4464164447308143
7,2,3,"{'max_depth': 7, 'colsample_bytree': 0.9602663905240079, 'n_estimators': 136, 'lambda': 11.421052065074694, 'alpha': 8.507262225035007, 'learning_rate': 0.017460250081829554, 'min_child_weight': 20, 'subsample': 0.500446771196622}",0.1403064763012467,8.699629402971919,6.662024306122368,0.39025251528839916,0.3608949445728864
19,4,5,"{'max_depth': 3, 'colsample_bytree': 0.621051355474714, 'n_estimators': 157, 'lambda': 3.731734000029351, 'alpha': 0.13603316826211062, 'learning_rate': 0.017756990655396446, 'min_child_weight': 19, 'subsample': 0.9370325486591552}",0.13974075902669636,9.935125231910535,7.28101370884822,0.38414982126759367,0.37569203822133024
22,5,3,"{'max_depth': 3, 'colsample_bytree': 0.913201791469458, 'n_estimators': 72, 'lambda': 0.007736700819468299, 'alpha': 3.888699014125659, 'learning_rate': 0.02903806893184056, 'min_child_weight': 19, 'subsample': 0.8836592630347325}",0.13189819771983868,11.558421236176612,7.464019814891928,0.3790795509715978,0.41503713960724664
48,10,4,"{'max_depth': 3, 'colsample_bytree': 0.8405896182223788, 'n_estimators': 72, 'lambda': 0.04232405945711433, 'alpha': 0.012849538153946403, 'learning_rate': 0.026615472808712102, 'min_child_weight': 14, 'subsample': 0.5261589848474083}",0.11955216385013745,11.534257095641138,6.964546480122403,0.34663362996678476,0.4247571969401771
