,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
12,3,3,"{'max_depth': 3, 'colsample_bytree': 0.9515987841061816, 'n_estimators': 77, 'lambda': 92.43455104378313, 'alpha': 11.475308748147913, 'learning_rate': 0.020729078511995673, 'min_child_weight': 14, 'subsample': 0.7671557828498968}",0.029707981613611545,8.014261684406733,6.354912879546545,0.19350337578800483,0.1781636915121078
15,4,1,"{'max_depth': 7, 'colsample_bytree': 0.6717650219282137, 'n_estimators': 77, 'lambda': 94.24229532201531, 'alpha': 14.143400127050809, 'learning_rate': 0.037007924520640355, 'min_child_weight': 18, 'subsample': 0.8986008683308193}",0.02869074573447261,10.370502595634758,6.570218723003556,0.1832716514966983,0.13813087365123566
46,10,2,"{'max_depth': 8, 'colsample_bytree': 0.9187244739345728, 'n_estimators': 96, 'lambda': 83.07579283618702, 'alpha': 3.0004072569556755, 'learning_rate': 0.03281777148703366, 'min_child_weight': 20, 'subsample': 0.6878108910340941}",0.028094694768986184,9.308891812628264,6.639445137263558,0.17830757805594913,0.09675799313808364
45,10,1,"{'max_depth': 3, 'colsample_bytree': 0.6326180007451139, 'n_estimators': 81, 'lambda': 10.344764864467361, 'alpha': 34.804613038318394, 'learning_rate': 0.010493846701542133, 'min_child_weight': 15, 'subsample': 0.524480625067025}",0.020590621634367423,9.232768509742765,7.10935948252566,0.17557023876802905,0.17921535478096567
33,7,4,"{'max_depth': 9, 'colsample_bytree': 0.6092830780799336, 'n_estimators': 69, 'lambda': 56.14752936019148, 'alpha': 0.0010088556284190513, 'learning_rate': 0.015865761995236927, 'min_child_weight': 1, 'subsample': 0.6600514201259746}",0.02007075867254604,9.075345008806247,6.643511569743354,0.19946100571234293,0.19815026602356922
44,9,5,"{'max_depth': 4, 'colsample_bytree': 0.6183752640187378, 'n_estimators': 83, 'lambda': 82.03669001690848, 'alpha': 68.75233725444049, 'learning_rate': 0.029516727346278138, 'min_child_weight': 10, 'subsample': 0.5561963408370081}",0.019322664784745758,9.125018365898063,6.695852290759326,0.1596285914480577,0.11957635125055942
49,10,5,"{'max_depth': 3, 'colsample_bytree': 0.9766235978921914, 'n_estimators': 50, 'lambda': 98.03773875065872, 'alpha': 67.71081526583252, 'learning_rate': 0.1006883608941475, 'min_child_weight': 4, 'subsample': 0.5062236293559088}",0.018280339967225778,11.078212770477336,7.326850214538999,0.14177973057146345,0.19195962408632095
29,6,5,"{'max_depth': 8, 'colsample_bytree': 0.9992322018250862, 'n_estimators': 76, 'lambda': 0.4975598593461616, 'alpha': 76.76164674002834, 'learning_rate': 0.010266102185518733, 'min_child_weight': 8, 'subsample': 0.6116195289451692}",0.016999323356882368,13.001717537365426,7.916724138134645,0.2146925627548917,0.2250211327134404
16,4,2,"{'max_depth': 3, 'colsample_bytree': 0.8383685113362086, 'n_estimators': 168, 'lambda': 92.69395474298346, 'alpha': 0.0023154961501067302, 'learning_rate': 0.010858328227073749, 'min_child_weight': 8, 'subsample': 0.6265964479208173}",0.014257766081887557,8.273617019889633,6.172201549702492,0.1371369318672909,0.16466113072447916
40,9,1,"{'max_depth': 7, 'colsample_bytree': 0.6758655967981477, 'n_estimators': 98, 'lambda': 61.93749889146593, 'alpha': 0.025536364995819745, 'learning_rate': 0.010153933811124354, 'min_child_weight': 18, 'subsample': 0.5911195555919037}",0.011120799935192771,10.388591183119434,7.225714887810964,0.12638276410560514,0.14606931530008457
