,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
40,9,1,"{'max_depth': 18, 'colsample_bytree': 0.9912987760022978, 'n_estimators': 132, 'lambda': 18.256041105622653, 'alpha': 0.01985476512664655, 'learning_rate': 0.03774076095049691, 'min_child_weight': 3, 'subsample': 0.5744885652022336}",0.04885611702480763,10.188450612352558,7.1227201346952915,0.24362514202364138,0.16842523991845262
49,10,5,"{'max_depth': 13, 'colsample_bytree': 0.7675170240214104, 'n_estimators': 142, 'lambda': 4.1763559030694015, 'alpha': 5.471998981684585, 'learning_rate': 0.011407813483140026, 'min_child_weight': 10, 'subsample': 0.5625895960865963}",0.026786128405640985,11.030116592468014,7.3434034020231875,0.17827749712497404,0.14856546168763365
2,1,3,"{'max_depth': 10, 'colsample_bytree': 0.7603422738787846, 'n_estimators': 101, 'lambda': 55.06237324609413, 'alpha': 2.862384816653772, 'learning_rate': 0.01016685146791412, 'min_child_weight': 6, 'subsample': 0.9306775342092305}",0.015642935768818034,9.574994208469345,6.716507859681796,0.14915723935718805,-0.0038138332255979314
29,6,5,"{'max_depth': 19, 'colsample_bytree': 0.6958449751769722, 'n_estimators': 124, 'lambda': 94.44019008004511, 'alpha': 0.014805902644852167, 'learning_rate': 0.02603664792041633, 'min_child_weight': 1, 'subsample': 0.6396964263042777}",0.011917046796471098,13.0352847245288,7.846241202688376,0.15004663542211813,0.17986922579682763
23,5,4,"{'max_depth': 10, 'colsample_bytree': 0.934777160728393, 'n_estimators': 136, 'lambda': 14.58468345477208, 'alpha': 0.13558679464573725, 'learning_rate': 0.010409349732221036, 'min_child_weight': 6, 'subsample': 0.6231911734983919}",0.007586853168992436,12.246091587930872,7.516449300385458,0.12278487912252273,0.04188752424046543
27,6,3,"{'max_depth': 14, 'colsample_bytree': 0.4879241676908556, 'n_estimators': 230, 'lambda': 40.578430957228875, 'alpha': 24.18183968945321, 'learning_rate': 0.010157811022326069, 'min_child_weight': 9, 'subsample': 0.5193591286315666}",0.004491452936544071,10.405096358616978,7.145787711764925,0.0676857324675308,0.033272835761523546
20,5,1,"{'max_depth': 19, 'colsample_bytree': 0.8344633683587023, 'n_estimators': 151, 'lambda': 98.1308849758553, 'alpha': 58.23928206038012, 'learning_rate': 0.010466548851652518, 'min_child_weight': 3, 'subsample': 0.5315960474690732}",0.004274733093965977,9.966021197822966,6.812931073293013,0.11313746661169596,0.08160956690368457
41,9,2,"{'max_depth': 15, 'colsample_bytree': 0.8572937675629865, 'n_estimators': 154, 'lambda': 23.474851634920142, 'alpha': 0.03329781500975152, 'learning_rate': 0.010977879249883514, 'min_child_weight': 9, 'subsample': 0.7667410036568258}",0.0025727411078068085,13.33555426858643,7.998901202654864,0.16411936761968804,0.12356670478842427
10,3,1,"{'max_depth': 8, 'colsample_bytree': 0.9372764145203833, 'n_estimators': 193, 'lambda': 44.57336766521262, 'alpha': 0.13251161764676161, 'learning_rate': 0.010019772697522501, 'min_child_weight': 17, 'subsample': 0.5116244067650961}",0.0025319731322237526,8.653805916226764,6.324987125197756,0.09329583046209332,0.09037342747749989
34,7,5,"{'max_depth': 7, 'colsample_bytree': 0.6568556848352922, 'n_estimators': 138, 'lambda': 15.767396005496037, 'alpha': 25.17933132079025, 'learning_rate': 0.010727048172648882, 'min_child_weight': 15, 'subsample': 0.6166279759322246}",0.000785514854972913,11.351340684379169,7.321946210844248,0.053422696610872386,0.09364029635522848
