,fit_time,score_time,test_r2,train_r2,test_neg_mean_absolute_error,train_neg_mean_absolute_error,test_neg_root_mean_squared_error,train_neg_root_mean_squared_error,test_r_corr,train_r_corr,test_spearmanr,train_spearmanr,n_train,n_test,repeat,fold,cv_mdsum
0,3543.8314096927643,0.007283687591552734,0.11349929238610534,0.3318038897900121,-6.750632415630628,-6.220050424762512,-9.095229188769139,-9.06300402061263,0.36281942175514603,0.6034824207737116,0.4497956265706709,0.5701411975452514,643,161,0,0,5c27a6ab2f77a32bc345d1ab4ef33463
1,3641.590616464615,0.009239435195922852,0.1492853730974698,0.35638880328699096,-7.047684632729332,-5.936346224112914,-12.113603735557078,-8.144825297007168,0.3917269622304449,0.6131692406139073,0.41360916091519434,0.5926678238971025,643,161,0,1,5c27a6ab2f77a32bc345d1ab4ef33463
2,3561.71750330925,0.009798526763916016,0.21601172205424657,0.30626198174770114,-7.04302045450578,-6.123089270767729,-9.352290560955684,-9.047626343920266,0.4880285373602006,0.5822764445999217,0.46864963715033786,0.557326824110378,643,161,0,2,5c27a6ab2f77a32bc345d1ab4ef33463
3,3540.8818843364716,0.009868144989013672,0.050212280802630294,0.3976858312485393,-7.427920103889519,-5.961308829479183,-10.989714311571335,-8.299822290854632,0.26710138439183123,0.665204218129001,0.3366686526071103,0.5988298802216967,643,161,0,3,5c27a6ab2f77a32bc345d1ab4ef33463
4,3530.447786808014,0.0072345733642578125,0.13408458752365682,0.35325418193682456,-6.463170951284175,-6.263928063598935,-8.211761531322741,-9.043436061598234,0.4169399997312546,0.6254896191990804,0.412482318874776,0.5795346146314277,644,160,0,4,5c27a6ab2f77a32bc345d1ab4ef33463
5,3670.7167472839355,0.009994268417358398,0.1988119945309761,0.3182938635530249,-6.658868905378207,-6.179522868788588,-11.023465916064703,-8.592253942151613,0.4855036122996205,0.6009335594769569,0.47022817582799664,0.5800614259692514,643,161,0,5,5c27a6ab2f77a32bc345d1ab4ef33463
6,3643.4836719036102,0.012320280075073242,0.0932030597599558,0.35390558968477415,-6.867778917786743,-6.1561082762109764,-9.412840057061674,-8.870969089575464,0.3358732225197901,0.6200266958409513,0.4215495218585837,0.5797884771760561,643,161,0,6,5c27a6ab2f77a32bc345d1ab4ef33463
7,3555.0718643665314,0.009880542755126953,0.1305845799203572,0.3291979739343488,-7.754243791592987,-5.994647538760511,-11.570205221426484,-8.500060894957663,0.36901418711670675,0.6012735514415524,0.41264533893432653,0.5779579625895276,643,161,0,7,5c27a6ab2f77a32bc345d1ab4ef33463
8,3521.7029418945312,0.011489629745483398,0.053810352213656376,0.40388060772258405,-6.506151414311434,-6.162328836783822,-8.888908498408721,-8.637571937525705,0.340619154707762,0.6754653893887186,0.39796046275942365,0.5865096689485292,643,161,0,8,5c27a6ab2f77a32bc345d1ab4ef33463
9,3544.253064393997,0.009484291076660156,0.141708520292802,0.3314022964263452,-6.952994834194951,-6.177677067592457,-9.126545644683478,-9.02978298880413,0.3900389598516914,0.6041010349463083,0.3827483265247939,0.5891865663593829,644,160,0,9,5c27a6ab2f77a32bc345d1ab4ef33463
10,3511.6673452854156,0.007125377655029297,0.12173446843519664,0.35007560709019403,-7.243464044123735,-6.069374103875072,-11.170650627818926,-8.474688490988138,0.361049412550308,0.6203940968057028,0.3062274621657526,0.610603603644881,643,161,0,10,5c27a6ab2f77a32bc345d1ab4ef33463
11,3534.0920610427856,0.006908893585205078,0.1261356985835127,0.3312415681837013,-6.553776233033159,-6.273662603800232,-8.70950672139681,-9.126502746968931,0.36342604311176846,0.6089165556076408,0.3950552616157542,0.5775119093710435,643,161,0,11,5c27a6ab2f77a32bc345d1ab4ef33463
12,3506.484122276306,0.01472616195678711,0.14112131909309555,0.337235317054826,-7.181833364070072,-6.084628595593436,-9.667520403753903,-8.882216065784437,0.3877954533139965,0.6100033793255901,0.37884573623547574,0.584759461797664,643,161,0,12,5c27a6ab2f77a32bc345d1ab4ef33463
13,3604.1324400901794,0.008867740631103516,0.0930978878510853,0.3470215768324225,-7.48262534119816,-6.001080656576909,-11.689965323088376,-8.410807069243393,0.32385128515486405,0.609722613767437,0.3515873477139094,0.5813499335679484,643,161,0,13,5c27a6ab2f77a32bc345d1ab4ef33463
14,3628.7761721611023,0.007020711898803711,0.198265700358066,0.31334684913117583,-6.611246150697369,-6.310032998571434,-8.728604048486691,-9.169676985579933,0.4473150755740743,0.5925543275978149,0.5022951057093434,0.5521410970911863,644,160,0,14,5c27a6ab2f77a32bc345d1ab4ef33463
15,3623.1535630226135,0.009655237197875977,0.1539220189000653,0.3332369949992581,-7.053455152544738,-6.133396210317068,-10.866392578628354,-8.61628070183097,0.39402609227141233,0.6053798363177385,0.42015483240883084,0.5766047081804123,643,161,0,15,5c27a6ab2f77a32bc345d1ab4ef33463
16,3516.140466451645,0.026338815689086914,0.03112106087736677,0.3479021478834844,-6.699705181951195,-6.235359709042437,-9.116895562039325,-9.020151127659362,0.2815720019619649,0.6135503410654575,0.3236836260714693,0.5869714410277271,643,161,0,16,5c27a6ab2f77a32bc345d1ab4ef33463
17,3587.4821174144745,0.020045042037963867,0.14371123663515561,0.36745063531401234,-6.730074889648233,-6.143434731563722,-9.798077464187825,-8.640927514480017,0.388349591390656,0.6407048791758649,0.3974692913326418,0.6037158246092336,643,161,0,17,5c27a6ab2f77a32bc345d1ab4ef33463
18,3569.7791368961334,0.02434563636779785,0.21226741316743625,0.3244695594412361,-7.014721405695242,-5.954110781855668,-10.339469058522853,-8.69312136325758,0.4817790091183065,0.5917296305674485,0.49847161559500797,0.57027501424737,643,161,0,18,5c27a6ab2f77a32bc345d1ab4ef33463
19,3587.9243907928467,0.018952369689941406,0.10872717265173337,0.38481564023621373,-7.283864291428505,-6.00120817593048,-9.885636171806256,-8.549695700787076,0.3528978947414286,0.6609308470239574,0.3994547292153028,0.5883725854418502,644,160,0,19,5c27a6ab2f77a32bc345d1ab4ef33463
20,3530.114884376526,0.008363723754882812,0.15997699062079973,0.3305445780739299,-6.964452284194768,-6.095970845291166,-10.39242223141635,-8.73959011050375,0.40162612486909427,0.6002177136183128,0.4624855758712389,0.5703652744747686,643,161,0,20,5c27a6ab2f77a32bc345d1ab4ef33463
21,3648.423097848892,0.018034934997558594,0.15876274836873217,0.3541381649865134,-7.288295476806984,-5.985939490479353,-10.436386906818296,-8.574101677857596,0.40915641974245737,0.6330669836170537,0.37700924879945524,0.5969611061181038,643,161,0,21,5c27a6ab2f77a32bc345d1ab4ef33463
22,3622.98410654068,0.01024937629699707,0.15882497871742463,0.3247183526710392,-7.246810117179358,-6.0136148020627065,-11.827869407156678,-8.395094013452674,0.4200344670712565,0.5952840513271719,0.4730108179715628,0.573234318406502,643,161,0,22,5c27a6ab2f77a32bc345d1ab4ef33463
23,3677.8275804519653,0.02030038833618164,0.15607990359034185,0.32606621766487065,-6.646524694407751,-6.315533525537736,-8.513092816368225,-9.166387064139883,0.4062953100149623,0.597964077713357,0.4102645553162951,0.5646185723073979,643,161,0,23,5c27a6ab2f77a32bc345d1ab4ef33463
24,3622.0319199562073,0.008025407791137695,0.07470382811586662,0.3386082834735187,-6.186738035728075,-6.378239527436578,-8.180448177886724,-9.196242500034645,0.37954722479199854,0.6127532143483545,0.4109906122008036,0.5873633672122264,644,160,0,24,5c27a6ab2f77a32bc345d1ab4ef33463
25,3627.5869359970093,0.010949850082397461,0.1797672465069975,0.3523047100216652,-6.789950735380896,-6.139742451646106,-10.215858076028397,-8.609078947593595,0.4255253396943724,0.6259926314499198,0.40885186667399465,0.5913563278569288,643,161,0,25,5c27a6ab2f77a32bc345d1ab4ef33463
26,3631.5113394260406,0.007213592529296875,0.20572619262504388,0.3189089607095873,-6.219408282742902,-6.3237163734812745,-8.20637862669868,-9.22566227248637,0.46165712351132837,0.5921271808348985,0.4622578390106954,0.567739828109537,643,161,0,26,5c27a6ab2f77a32bc345d1ab4ef33463
