Feature Combination,Model,Target,Performance Test Set MAE EMC,Performance Test Set RMSE EMC,Performance Test Set R2 EMC,Performance Test Set Pearson r EMC,Performance Test Set Pearson r p-value EMC,Performance Test Set Spearman r EMC,Performance Test Set Spearman r p-value EMC
Brain,AutoGluon,Stroop,10.043099374062674,12.1201503026169,-0.3746687863063309,0.2646413863439466,1.1070123506209888e-12,0.1798946162875775,1.6662343659937175e-06
Brain,XGBoost,Stroop,9.99860020386832,12.161759031637324,-0.3841235209317473,0.2030179972998259,6.017674274856097e-08,0.1780143548709253,2.144541274907156e-06
Cov,AutoGluon,Stroop,9.804109649222235,11.968427053014311,-0.3404672709969993,0.2690507076476746,4.50006495329337e-13,0.2397643102950175,1.3083745558126408e-10
Cov,XGBoost,Stroop,9.494022517177036,11.660529324568756,-0.2723851486368007,0.240213699311983,1.2057693573787549e-10,0.2279216761487996,1.0611606031937562e-09
Sleep,AutoGluon,Stroop,8.819449205453054,11.049073818855996,-0.1424410786746959,0.1496360446855652,7.058088868006644e-05,0.069994354474379,0.0641929578092266
Sleep,XGBoost,Stroop,8.94662261668614,11.15883279414998,-0.1652513119501908,0.1692670397144605,6.702849635981328e-06,0.1620300445493466,1.6492576967116645e-05
Sleep_APOE,AutoGluon,Stroop,8.860553556169782,11.070806104638544,-0.1469396046542335,0.1614203630282806,1.776127277518675e-05,0.136661638635449,0.0002875203831448
Sleep_APOE,XGBoost,Stroop,8.806724966539655,11.066106653842551,-0.1459660816445382,0.1681702578331522,7.701749632823384e-06,0.1545610071242524,4.013625233836824e-05
Sleep_APOE_Shuffle,AutoGluon,Stroop,8.936133074406214,11.166863731765208,-0.1669291627132509,0.1405764022722626,0.0001905711684124,0.1477888935507253,8.683441292862936e-05
Sleep_APOE_Shuffle,XGBoost,Stroop,8.885493792288644,11.085804122260615,-0.1500493099820155,0.2171937445732528,6.4144278172363e-09,0.1923948829679058,2.90996679895317e-07
Sleep_Cov,AutoGluon,Stroop,9.815553995786397,11.921325540995838,-0.3299372663872275,0.2881060372906873,7.581551936961742e-15,0.2609570472535191,2.318978980479255e-12
Sleep_Cov,AutoGluon,Stroop_rgo_age,10.502702781940036,12.494234698885805,-0.6462364351770695,0.0658431528027503,0.0817147676790973,0.0652465732031989,0.0845247115007828
Sleep_Cov,XGBoost,Stroop,9.31130875113351,11.453373569051514,-0.2275774799121674,0.2392105407090561,1.4465709521480519e-10,0.2122400913066223,1.4277277944695916e-08
Sleep_Cov,XGBoost,Stroop_rgo_age,10.243194551236734,12.25226716768238,-0.5830907326003114,0.0907606258165058,0.0163071366336979,0.0796268397627916,0.03517757476898
Sleep_Cov_APOE,AutoGluon,Stroop,9.826664608764649,11.902999351529544,-0.3258514877293605,0.295553220684867,1.4088564528469322e-15,0.2564086331721922,5.687053883437753e-12
Sleep_Cov_APOE,XGBoost,Stroop,9.56004563053676,11.695341674332552,-0.2799938662562953,0.1768218679043547,2.513343835311431e-06,0.1627808138596572,1.5048518679912933e-05
Sleep_Cov_APOE_Shuffle,AutoGluon,Stroop,9.924189353942872,11.987379961105638,-0.3447160948129038,0.3068241454110193,1.0030682044801721e-16,0.2721880791797431,2.347748645707969e-13
Sleep_Cov_APOE_Shuffle,XGBoost,Stroop,9.795015703473773,11.889976441997286,-0.3229518826840067,0.238831255011143,1.5493327036833082e-10,0.2236689995386341,2.1891529335555726e-09
Sleep_Cov_Brain,AutoGluon,Stroop,10.784630772617884,12.71826497911364,-0.5136929859531392,0.3445971919752298,5.999709157594121e-21,0.2617526528071825,1.978659607586141e-12
Sleep_Cov_Brain,AutoGluon,Stroop_rgo_age,11.163659930831209,13.08061215282971,-0.8043842498769422,0.0813605004151061,0.0313722710896436,0.05271134955669,0.1635933731906203
Sleep_Cov_Brain,XGBoost,Stroop,10.169796669660297,12.219257893030486,-0.3972422910251034,0.2789650183832571,5.593422747346622e-14,0.2494375947572056,2.1746018268134254e-11
Sleep_Cov_Brain,XGBoost,Stroop_rgo_age,10.644753061966192,12.585839898881996,-0.6704646737316138,0.0737654199447728,0.0510784715279141,0.0584132504060503,0.1225820661039305
Sleep_Cov_Brain_APOE,AutoGluon,Stroop,10.62077533340454,12.587194020579629,-0.4826543408658976,0.3265029627831055,7.503136925692719e-19,0.2575348343320006,4.561711329121228e-12
Sleep_Cov_Brain_APOE,XGBoost,Stroop,10.673768469347271,12.738694042720784,-0.518559713618945,0.2351401971438552,3.0029100158200155e-10,0.2329369923678921,4.4341062975871197e-10
Sleep_Cov_Brain_APOE_Shuffle,AutoGluon,Stroop,10.694252390180315,12.658810932658698,-0.4995739495704345,0.3336257399471171,1.1649004093574322e-19,0.2599702983489721,2.8213635162777807e-12
Sleep_Cov_Brain_APOE_Shuffle,XGBoost,Stroop,9.901981225585937,12.01874054269888,-0.3517612108475787,0.1893385826109636,4.5071141809071723e-07,0.1909628781140514,3.575181829983585e-07
Sleep_Cov_Brain_Shuffle,AutoGluon,Stroop,9.711471598597935,11.8157174989509,-0.3064784730881904,0.2267481319163486,1.297757432917567e-09,0.2123707759781872,1.3982517163782296e-08
Sleep_Cov_Brain_Shuffle,XGBoost,Stroop,10.001164342553274,12.096892722151887,-0.3693980934864485,0.2058525644351738,3.894375490478421e-08,0.1852736120452838,7.97764399778555e-07
Sleep_Shuffle_Cov,AutoGluon,Stroop,10.004609246172222,12.2112338581171,-0.395407835957172,0.2823367898357393,2.6993040216682886e-14,0.2313934140366662,5.812725558629381e-10
Sleep_Shuffle_Cov,XGBoost,Stroop,9.60741443623134,11.817348782707938,-0.3068392441090073,0.1515286935570766,5.693360552078724e-05,0.1361278268491587,0.0003038519909978
