Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,22.49,23.30,-17.49,-0.26,-0.32
AutoGluon,Demographic,18.19,18.93,-11.20,0.22,0.13
AutoGluon,"Sleep, Demo",16.58,17.36,-9.26,0.04,0.02
AutoGluon,"Sleep (Shuffled), Demo",18.06,18.73,-10.95,0.25,0.14
AutoGluon,Brain,25.81,26.41,-22.75,0.19,0.18
AutoGluon,"Sleep, Demo, Brain",24.67,25.28,-20.75,0.21,0.15
AutoGluon,"Sleep (Shuffled), Demo, Brain",21.45,22.12,-15.66,0.05,0.07
AutoGluon,"Sleep, APOE",21.27,22.14,-15.69,-0.26,-0.31
AutoGluon,"Sleep (Shuffled), APOE",22.36,23.11,-17.19,-0.28,-0.32
AutoGluon,"Sleep, Demo, APOE",14.52,15.32,-6.99,0.11,0.14
AutoGluon,"Sleep (Shuffled), Demo, APOE",16.83,17.58,-9.52,0.26,0.21
AutoGluon,"Sleep, Demo, Brain, APOE",27.05,27.78,-25.28,0.24,0.16
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",25.79,26.46,-22.84,0.22,0.16
XGBoost,Sleep,23.37,24.04,-18.68,-0.29,-0.38*
XGBoost,Demographic,19.09,19.86,-12.44,0.10,-0.02
XGBoost,"Sleep, Demo",16.52,17.22,-9.10,0.11,0.12
XGBoost,"Sleep (Shuffled), Demo",20.11,20.81,-13.74,-0.09,-0.11
XGBoost,Brain,24.98,25.60,-21.31,0.14,0.17
XGBoost,"Sleep, Demo, Brain",27.36,28.24,-26.16,0.20,-0.01
XGBoost,"Sleep (Shuffled), Demo, Brain",22.28,22.98,-16.99,0.04,0.02
XGBoost,"Sleep, APOE",22.43,23.14,-17.23,-0.34*,-0.33*
XGBoost,"Sleep (Shuffled), APOE",22.96,23.67,-18.08,-0.32,-0.31
XGBoost,"Sleep, Demo, APOE",19.00,19.71,-12.23,0.09,0.15
XGBoost,"Sleep (Shuffled), Demo, APOE",15.36,16.08,-7.80,0.23,0.12
XGBoost,"Sleep, Demo, Brain, APOE",23.63,24.31,-19.12,0.16,0.17
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",23.77,24.35,-19.19,0.23,0.20
