Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,21.19,21.90,-15.95,-0.19,-0.33*
AutoGluon,Demographic,17.63,18.35,-10.90,0.29,0.22
AutoGluon,"Sleep, Demo",15.65,16.53,-8.65,0.13,0.09
AutoGluon,"Sleep (Shuffled), Demo",16.92,17.65,-10.01,0.33*,0.28
AutoGluon,Brain,25.27,25.97,-22.85,-0.00,0.08
AutoGluon,"Sleep, Demo, Brain",24.06,24.72,-20.60,0.09,0.16
AutoGluon,"Sleep (Shuffled), Demo, Brain",20.73,21.37,-15.14,0.24,0.24
AutoGluon,"Sleep, APOE",19.53,20.34,-13.63,-0.16,-0.33*
AutoGluon,"Sleep (Shuffled), APOE",21.46,22.16,-16.35,-0.26,-0.33*
AutoGluon,"Sleep, Demo, APOE",13.82,14.87,-6.82,0.09,0.11
AutoGluon,"Sleep (Shuffled), Demo, APOE",16.90,17.82,-10.22,0.09,0.12
AutoGluon,"Sleep, Demo, Brain, APOE",26.44,27.31,-25.35,0.10,0.19
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",25.20,25.97,-22.85,0.08,0.17
XGBoost,Sleep,22.66,23.34,-18.25,-0.38*,-0.31
XGBoost,Demographic,18.56,19.30,-12.17,0.16,0.05
XGBoost,"Sleep, Demo",15.78,16.69,-8.85,0.00,0.06
XGBoost,"Sleep (Shuffled), Demo",19.32,20.02,-13.17,0.14,0.08
XGBoost,Brain,24.45,25.13,-21.32,-0.03,0.14
XGBoost,"Sleep, Demo, Brain",26.65,27.68,-26.08,0.03,-0.01
XGBoost,"Sleep (Shuffled), Demo, Brain",21.26,21.90,-15.95,0.16,0.04
XGBoost,"Sleep, APOE",21.66,22.33,-16.62,-0.18,-0.19
XGBoost,"Sleep (Shuffled), APOE",22.23,22.92,-17.57,-0.21,-0.28
XGBoost,"Sleep, Demo, APOE",18.25,19.03,-11.80,0.03,0.11
XGBoost,"Sleep (Shuffled), Demo, APOE",14.78,15.66,-7.67,0.24,0.16
XGBoost,"Sleep, Demo, Brain, APOE",23.05,23.84,-19.08,-0.02,0.10
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",23.18,23.80,-19.01,0.13,0.31
