Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,13.57,15.40,-1.88,-0.08,-0.00
AutoGluon,Demographic,10.62,12.23,-0.82,0.30,0.27
AutoGluon,"Sleep, Demo",9.69,11.10,-0.50,0.22,0.13
AutoGluon,"Sleep (Shuffled), Demo",10.42,12.03,-0.76,0.16,0.12
AutoGluon,Brain,16.46,18.66,-3.23,0.12,0.17
AutoGluon,"Sleep, Demo, Brain",15.34,17.46,-2.71,0.22,0.27
AutoGluon,"Sleep (Shuffled), Demo, Brain",12.96,14.71,-1.63,0.30,0.35*
AutoGluon,"Sleep, APOE",12.48,14.25,-1.47,-0.09,-0.00
AutoGluon,"Sleep (Shuffled), APOE",13.71,15.53,-1.93,0.01,0.02
AutoGluon,"Sleep, Demo, APOE",8.79,10.10,-0.24,0.20,0.17
AutoGluon,"Sleep (Shuffled), Demo, APOE",10.10,11.61,-0.64,0.37*,0.38*
AutoGluon,"Sleep, Demo, Brain, APOE",17.59,19.74,-3.74,0.23,0.28
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",16.37,18.55,-3.18,0.21,0.26
XGBoost,Sleep,14.65,16.57,-2.34,0.26,0.22
XGBoost,Demographic,11.43,13.03,-1.06,0.21,0.17
XGBoost,"Sleep, Demo",9.80,11.08,-0.49,0.24,0.26
XGBoost,"Sleep (Shuffled), Demo",12.01,13.67,-1.27,-0.02,-0.08
XGBoost,Brain,15.76,17.96,-2.92,0.06,0.18
XGBoost,"Sleep, Demo, Brain",18.04,20.19,-3.96,0.19,0.17
XGBoost,"Sleep (Shuffled), Demo, Brain",13.28,15.26,-1.83,0.07,0.01
XGBoost,"Sleep, APOE",13.85,15.71,-2.00,0.25,0.19
XGBoost,"Sleep (Shuffled), APOE",14.45,16.35,-2.25,0.10,0.18
XGBoost,"Sleep, Demo, APOE",11.30,12.81,-1.00,0.11,0.10
XGBoost,"Sleep (Shuffled), Demo, APOE",8.94,10.46,-0.33,0.26,0.23
XGBoost,"Sleep, Demo, Brain, APOE",14.72,16.84,-2.45,0.07,0.21
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",14.63,16.70,-2.39,0.23,0.38*
