Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,16.37,19.89,-0.74,-0.03,-0.05
AutoGluon,Demographic,14.60,17.91,-0.41,0.41**,0.34*
AutoGluon,"Sleep, Demo",15.40,18.86,-0.57,0.42**,0.36*
AutoGluon,"Sleep (Shuffled), Demo",15.12,18.61,-0.53,0.28,0.24
AutoGluon,Brain,15.97,19.54,-0.68,0.50***,0.45**
AutoGluon,"Sleep, Demo, Brain",16.13,19.90,-0.75,0.50***,0.47***
AutoGluon,"Sleep (Shuffled), Demo, Brain",14.89,18.76,-0.55,0.41**,0.32*
AutoGluon,"Sleep, APOE",17.07,20.85,-0.92,-0.08,-0.14
AutoGluon,"Sleep (Shuffled), APOE",16.83,20.60,-0.87,-0.04,-0.07
AutoGluon,"Sleep, Demo, APOE",15.26,18.66,-0.53,0.41**,0.37**
AutoGluon,"Sleep (Shuffled), Demo, APOE",15.47,18.99,-0.59,0.37**,0.31*
AutoGluon,"Sleep, Demo, Brain, APOE",17.02,20.68,-0.89,0.47***,0.46***
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",16.41,20.19,-0.80,0.47***,0.44**
XGBoost,Sleep,15.43,18.29,-0.47,0.06,0.10
XGBoost,Demographic,15.07,18.81,-0.56,0.40**,0.34*
XGBoost,"Sleep, Demo",15.07,18.91,-0.58,0.40**,0.35*
XGBoost,"Sleep (Shuffled), Demo",15.46,18.30,-0.48,-0.20,-0.19
XGBoost,Brain,18.71,22.57,-1.25,0.26,0.29*
XGBoost,"Sleep, Demo, Brain",19.95,23.61,-1.46,0.24,0.26
XGBoost,"Sleep (Shuffled), Demo, Brain",14.75,18.28,-0.47,0.42**,0.38**
XGBoost,"Sleep, APOE",15.59,18.47,-0.50,0.05,0.02
XGBoost,"Sleep (Shuffled), APOE",15.74,18.75,-0.55,-0.00,-0.03
XGBoost,"Sleep, Demo, APOE",14.92,18.44,-0.50,0.41**,0.36*
XGBoost,"Sleep (Shuffled), Demo, APOE",14.17,18.06,-0.44,0.41**,0.37**
XGBoost,"Sleep, Demo, Brain, APOE",18.53,22.25,-1.18,0.42**,0.40**
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",16.74,20.72,-0.89,0.32*,0.30*
