Feature Combination,Model,Target,Performance Test Set MAE KI,Performance Test Set RMSE KI,Performance Test Set R2 KI,Performance Test Set Pearson r KI,Performance Test Set Pearson r p-value KI,Performance Test Set Spearman r KI,Performance Test Set Spearman r p-value KI
Brain,AutoGluon,Memory,15.97467354138692,19.537548416369717,-0.6829822667070387,0.5038241699980961,0.0002615571473588,0.4491471811679888,0.0013635558835692
Brain,XGBoost,Memory,18.706265687942505,22.571988937510863,-1.2463584776259014,0.263348841706856,0.070526799036454,0.2900611540690059,0.0455161002186184
Cov,AutoGluon,Memory,14.596545712153116,17.912059940779404,-0.4145896401679221,0.4060379878786156,0.0041906254503027,0.3358482794311863,0.0196100263671048
Cov,XGBoost,Memory,15.074951632817584,18.814851269725857,-0.5607774600943338,0.39619734524823,0.0053089927837047,0.3354122674449085,0.0197792932474598
Sleep,AutoGluon,Memory,16.36982685724894,19.885315048244895,-0.7434293681615871,-0.0288408486442491,0.845715044079197,-0.0534307164087463,0.7183395218412423
Sleep,XGBoost,Memory,15.43391507466634,18.2877109742124,-0.4745452487278871,0.0592198984957144,0.6892864048460507,0.1003684472251139,0.497289790455754
Sleep_APOE,AutoGluon,Memory,17.068791341781616,20.853928775217785,-0.9174108351762033,-0.0842640410247645,0.5690684807976945,-0.1369622355167588,0.3532654405758032
Sleep_APOE,XGBoost,Memory,15.592787837982176,18.46758494541809,-0.5036945166502742,0.0538556844397287,0.716192771866293,0.0244065819941927,0.8692108661454251
Sleep_APOE_Shuffle,AutoGluon,Memory,16.83487335840861,20.598754388339607,-0.8707739934268635,-0.0408708439454629,0.7826919412757192,-0.0684278118361746,0.6439899255223516
Sleep_APOE_Shuffle,XGBoost,Memory,15.74114999771118,18.74768314123341,-0.5496535482032139,-0.0031443215726484,0.9830778969442878,-0.030348688046313,0.8377545458534283
Sleep_Cov,AutoGluon,Memory,15.404214461644491,18.855593597873863,-0.5675443014799939,0.4210814745790041,0.00287901221103,0.3590554525599626,0.0122026031704715
Sleep_Cov,AutoGluon,Memory_rgo_age,14.831361701538896,18.961623266361435,-0.9652018467378768,-0.0122719127543061,0.9340231340163854,0.0108078771929093,0.9418797648825876
Sleep_Cov,XGBoost,Memory,15.069644133249918,18.905650914271614,-0.5758782970943219,0.4015177601890176,0.0046756920202654,0.3487918379084153,0.0151136968109889
Sleep_Cov,XGBoost,Memory_rgo_age,14.182882142580434,18.386998817835064,-0.847897306935468,0.1143794576116154,0.4388709989030791,0.0864050033497748,0.5592569841599802
Sleep_Cov_APOE,AutoGluon,Memory,15.264536698659262,18.65838449700591,-0.5349261399639915,0.4144540394575992,0.0034039015371632,0.3730253725023464,0.0090206712113107
Sleep_Cov_APOE,XGBoost,Memory,14.915428288777669,18.43766084981494,-0.4988254183647067,0.4059871856070933,0.0041958218665759,0.3629328180949916,0.0112354113458235
Sleep_Cov_APOE_Shuffle,AutoGluon,Memory,15.468642711639404,18.99283596108481,-0.5904464094160906,0.3730597731811412,0.0090138193101183,0.3114436845930627,0.0311793575634986
Sleep_Cov_APOE_Shuffle,XGBoost,Memory,14.168476422627768,18.063438082970823,-0.4386005928092862,0.4077236906428045,0.0040213696088281,0.3716568905488068,0.0092969161980551
Sleep_Cov_Brain,AutoGluon,Memory,16.126861079533892,19.89632550557808,-0.7453605690507803,0.4950147336849705,0.00034779722788,0.4684769887617362,0.0007845796961597
Sleep_Cov_Brain,AutoGluon,Memory_rgo_age,16.201605253608168,20.091800874152597,-1.2064488641222897,0.1029849509442403,0.4860854224939273,0.1544060043188008,0.2947040704360419
Sleep_Cov_Brain,XGBoost,Memory,19.94951383272807,23.612881289990263,-1.4583141046692187,0.2365734807984895,0.1054691928954336,0.2612089928818785,0.0729278186681965
Sleep_Cov_Brain,XGBoost,Memory_rgo_age,16.34335412122673,20.314361300577893,-1.2556020513118509,-0.1307735595593184,0.3756410282990238,-0.1251867182394779,0.3965498641326357
Sleep_Cov_Brain_APOE,AutoGluon,Memory,17.01926875114441,20.681273822961728,-0.8857928072800703,0.4703278561248618,0.0007428635187909,0.4634592215987575,0.0009084478788349
Sleep_Cov_Brain_APOE,XGBoost,Memory,18.53013146718343,22.245915796156567,-1.1819258293345838,0.419227728631031,0.0030180997303796,0.3964606259567127,0.0052759774232922
Sleep_Cov_Brain_APOE_Shuffle,AutoGluon,Memory,16.411976766586303,20.19010911199199,-0.7972841210335608,0.4665768777114309,0.0008295804056555,0.439054626760634,0.0017970246160971
Sleep_Cov_Brain_APOE_Shuffle,XGBoost,Memory,16.735354137420654,20.71884821439727,-0.8926513679085528,0.3198384861139055,0.0266870821719653,0.2988422466042185,0.0390864794701967
Sleep_Cov_Brain_Shuffle,AutoGluon,Memory,14.885805416107177,18.75768334969818,-0.5513071916434087,0.4127577460962963,0.0035510906863745,0.3166325120002338,0.0283343164634556
Sleep_Cov_Brain_Shuffle,XGBoost,Memory,14.754119173685709,18.28218246365549,-0.4736538515732806,0.4154472154376016,0.0033202380231509,0.3799248023514421,0.0077332467070964
Sleep_Shuffle_Cov,AutoGluon,Memory,15.119819927215577,18.60771592890217,-0.5266009915086853,0.2763781380939565,0.0572296353518673,0.2411949443113613,0.0986401777190606
Sleep_Shuffle_Cov,XGBoost,Memory,15.461896673838297,18.3036837968039,-0.477122163395081,-0.1964484647803858,0.1808178982434403,-0.1866815470305803,0.203914403150807
