Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,13.96,15.68,-1.94,-0.06,-0.01
AutoGluon,Demographic,15.83,17.60,-2.71,-0.05,-0.05
AutoGluon,"Sleep, Demo",16.52,18.50,-3.10,0.01,-0.00
AutoGluon,"Sleep (Shuffled), Demo",15.47,17.14,-2.51,0.03,0.02
AutoGluon,Brain,15.74,17.29,-2.58,-0.08,-0.02
AutoGluon,"Sleep, Demo, Brain",16.78,18.29,-3.00,-0.08,-0.03
AutoGluon,"Sleep (Shuffled), Demo, Brain",14.78,16.40,-2.22,-0.03,-0.04
AutoGluon,"Sleep, APOE",13.76,15.57,-1.90,-0.06,-0.02
AutoGluon,"Sleep (Shuffled), APOE",14.16,15.92,-2.03,-0.05,-0.03
AutoGluon,"Sleep, Demo, APOE",16.42,18.51,-3.10,0.01,-0.01
AutoGluon,"Sleep (Shuffled), Demo, APOE",16.04,18.12,-2.93,-0.00,-0.01
AutoGluon,"Sleep, Demo, Brain, APOE",17.82,19.32,-3.46,-0.08,-0.03
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",17.06,18.57,-3.12,-0.07,-0.01
XGBoost,Sleep,15.04,16.64,-2.31,-0.09,-0.08
XGBoost,Demographic,16.07,17.84,-2.81,-0.05,-0.04
XGBoost,"Sleep, Demo",15.82,17.57,-2.69,0.06,0.02
XGBoost,"Sleep (Shuffled), Demo",12.43,14.08,-1.37,0.09,0.05
XGBoost,Brain,18.47,19.91,-3.74,-0.05,-0.04
XGBoost,"Sleep, Demo, Brain",19.73,21.42,-4.49,-0.03,-0.03
XGBoost,"Sleep (Shuffled), Demo, Brain",14.08,15.68,-1.94,0.02,0.01
XGBoost,"Sleep, APOE",13.36,15.02,-1.70,-0.02,0.02
XGBoost,"Sleep (Shuffled), APOE",13.34,15.04,-1.71,-0.03,-0.00
XGBoost,"Sleep, Demo, APOE",15.15,16.79,-2.37,-0.06,-0.04
XGBoost,"Sleep (Shuffled), Demo, APOE",16.09,18.03,-2.89,0.01,-0.00
XGBoost,"Sleep, Demo, Brain, APOE",19.12,20.60,-4.08,-0.00,0.02
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",17.58,19.19,-3.41,-0.09,-0.06
