Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,23.28,29.94,-0.64,-0.04,0.04
AutoGluon,Demographic,21.23,27.55,-0.39,0.33****,0.36****
AutoGluon,"Sleep, Demo",21.40,27.65,-0.40,0.35****,0.39****
AutoGluon,"Sleep (Shuffled), Demo",21.18,27.45,-0.38,0.33****,0.38****
AutoGluon,Brain,22.30,28.50,-0.49,0.14*,0.21**
AutoGluon,"Sleep, Demo, Brain",21.62,27.62,-0.40,0.18*,0.29****
AutoGluon,"Sleep (Shuffled), Demo, Brain",21.95,28.16,-0.45,0.22**,0.25***
AutoGluon,"Sleep, APOE",23.30,29.98,-0.64,-0.03,0.04
AutoGluon,"Sleep (Shuffled), APOE",23.08,29.76,-0.62,-0.02,0.09
AutoGluon,"Sleep, Demo, APOE",21.88,28.12,-0.45,0.31****,0.35****
AutoGluon,"Sleep (Shuffled), Demo, APOE",21.42,27.58,-0.39,0.39****,0.41****
AutoGluon,"Sleep, Demo, Brain, APOE",21.49,27.54,-0.39,0.21**,0.28****
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",21.44,27.47,-0.38,0.19**,0.27***
XGBoost,Sleep,23.30,29.86,-0.63,0.07,0.09
XGBoost,Demographic,22.35,28.62,-0.50,0.28***,0.31****
XGBoost,"Sleep, Demo",22.84,29.16,-0.56,0.27***,0.29****
XGBoost,"Sleep (Shuffled), Demo",22.78,29.07,-0.55,0.20**,0.23**
XGBoost,Brain,21.93,28.18,-0.45,0.17*,0.20**
XGBoost,"Sleep, Demo, Brain",21.71,27.92,-0.43,0.21**,0.26***
XGBoost,"Sleep (Shuffled), Demo, Brain",21.86,28.07,-0.44,0.19**,0.19*
XGBoost,"Sleep, APOE",23.38,29.96,-0.64,0.08,0.05
XGBoost,"Sleep (Shuffled), APOE",23.38,29.91,-0.64,0.04,0.01
XGBoost,"Sleep, Demo, APOE",22.35,28.48,-0.48,0.33****,0.32****
XGBoost,"Sleep (Shuffled), Demo, APOE",21.97,28.09,-0.44,0.32****,0.34****
XGBoost,"Sleep, Demo, Brain, APOE",21.46,27.61,-0.39,0.15*,0.16*
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",22.20,28.58,-0.49,0.17*,0.20**
