Feature Combination,Model,Target,Performance Test Set MAE Liege,Performance Test Set RMSE Liege,Performance Test Set R2 Liege,Performance Test Set Pearson r Liege,Performance Test Set Pearson r p-value Liege,Performance Test Set Spearman r Liege,Performance Test Set Spearman r p-value Liege
Brain,AutoGluon,Memory,15.736967955958708,17.294792487840272,-2.5775811317831283,-0.079691171800698,0.2731364757388095,-0.0187534606240188,0.7967933481450105
Brain,AutoGluon,Stroop,22.29789732707353,28.497537466849465,-0.4859788822876385,0.1431327951058663,0.0482304533596942,0.2089172689441216,0.0037266778787107
Brain,XGBoost,Memory,18.46561039863765,19.913067105579,-3.742803099420572,-0.0474864027642752,0.5141848922522848,-0.042721860982589,0.5573245131542834
Brain,XGBoost,Stroop,21.92928013359229,28.1784461088974,-0.452887715623933,0.1699330000035006,0.0187621130920213,0.197967672385886,0.006046827390491
Cov,AutoGluon,Memory,15.83053075913888,17.604752480113383,-2.706966208105816,-0.046023847599857,0.5272417808855923,-0.0477852231095142,0.5115378636660086
Cov,AutoGluon,Stroop,21.23301935236304,27.54812882692977,-0.3886160526638551,0.3295598501982211,3.233070812320291e-06,0.364819904734584,2.1169023326736217e-07
Cov,XGBoost,Memory,16.07422523458778,17.84002495518465,-2.8067091458476146,-0.0516746094992733,0.4777389414903297,-0.0364788230882982,0.6163677478700023
Cov,XGBoost,Stroop,22.35437169397091,28.61726043241377,-0.4984908058113315,0.2765109207960325,0.0001078834413397,0.3111864808001939,1.1773491767473957e-05
Sleep,AutoGluon,Memory,13.959976113309724,15.68317803371243,-1.94189335654498,-0.0554773757797936,0.4459006959672785,-0.0110395473268934,0.8795239782480515
Sleep,AutoGluon,Stroop,23.279191933738534,29.939080003420223,-0.6401171600919302,-0.0435466989339286,0.5497327593777477,0.041406938625609,0.5695306791857471
Sleep,XGBoost,Memory,15.039612659290327,16.635708083186156,-2.310101890505827,-0.09108528111021,0.2101449287779739,-0.0836478933654765,0.2499520901638453
Sleep,XGBoost,Stroop,23.29569890108988,29.85681544582566,-0.6311163393746515,0.0741774968443623,0.3078092314439815,0.0874111933814724,0.2292009503391052
Sleep_APOE,AutoGluon,Memory,13.760335192915113,15.56918471208639,-1.8992824233411425,-0.057725767798668,0.4276550161530473,-0.018365087819084,0.80091295376422
Sleep_APOE,AutoGluon,Stroop,23.30170176415291,29.98294966704103,-0.6449272012290483,-0.0283111786263564,0.6974405079170124,0.0358421519567513,0.622539088941919
Sleep_APOE,XGBoost,Memory,13.364277012399572,15.017950602639834,-1.6976159665541894,-0.0180413002212118,0.804351690434056,0.0249889883637075,0.731492180068755
Sleep_APOE,XGBoost,Stroop,23.376972631137235,29.96280388313501,-0.6427174643389595,0.0823434783198855,0.2574395896346956,0.0487912943692993,0.5026779761622752
Sleep_APOE_Shuffle,AutoGluon,Memory,14.15715094568635,15.918352388288994,-2.0307841651224483,-0.0539145412507472,0.4588379851088813,-0.0323324402092721,0.6570236943486847
Sleep_APOE_Shuffle,AutoGluon,Stroop,23.07989315948975,29.76217669795317,-0.6207922540145963,-0.0175516199423658,0.809559386836635,0.0896333674447624,0.2175347785833656
Sleep_APOE_Shuffle,XGBoost,Memory,13.335450213182302,15.041897451409508,-1.7062257837970116,-0.0262478934728934,0.7185226039157822,-0.002569021477219,0.9718631864828264
Sleep_APOE_Shuffle,XGBoost,Stroop,23.380164074339596,29.91131200003472,-0.6370762076805416,0.03820124922681,0.5998072519524003,0.0081332599092513,0.9110867467284768
Sleep_Cov,AutoGluon,Memory,16.51972053236816,18.50422781139177,-3.095441374776767,0.011844186255013,0.8708167686570549,-0.0047757667297153,0.9477205539970056
Sleep_Cov,AutoGluon,Memory_rgo_age,16.15830757431727,17.97343308057811,-2.7791488688368924,-0.1015599478932421,0.1621160117229786,-0.1389415128134472,0.0552489624623384
Sleep_Cov,AutoGluon,Stroop,21.396366246722494,27.649173841657745,-0.3988214687954821,0.3500191201483059,6.922667011264452e-07,0.386363431211652,3.38078233338067e-08
Sleep_Cov,AutoGluon,Stroop_rgo_age,20.790133776317013,26.91814742384843,-0.44772793437169,0.1244267117010133,0.0863462605167866,0.1207908514742353,0.0960116011215785
Sleep_Cov,XGBoost,Memory,15.821825596586148,17.570830700766155,-2.6926944093989493,0.0619040917604692,0.3949183025529876,0.0177166651094778,0.8078032023564842
Sleep_Cov,XGBoost,Memory_rgo_age,16.400669147094767,17.995340582013444,-2.7883671595859107,-0.1613602106694807,0.0257449212021984,-0.1725535459054653,0.0169857424510681
Sleep_Cov,XGBoost,Stroop,22.8419806527865,29.15565058513835,-0.55540483468723,0.2666796473798513,0.0001921226535555,0.2858924221346434,6.093050190943184e-05
Sleep_Cov,XGBoost,Stroop_rgo_age,21.001434866260794,27.171556370227364,-0.4751142220619011,0.1609973479722364,0.0260841520261751,0.1377980064231004,0.0573041306012961
