Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,4.49,5.35,-0.70,0.05,0.14
AutoGluon,Demographic,5.05,6.43,-1.45,0.04,0.17
AutoGluon,"Sleep, Demo",3.87,5.35,-0.69,-0.32*,-0.30
AutoGluon,"Sleep (Shuffled), Demo",3.61,5.14,-0.56,-0.06,-0.09
AutoGluon,Brain,6.00,6.94,-1.85,-0.11,-0.06
AutoGluon,"Sleep, Demo, Brain",4.43,5.04,-0.50,-0.03,-0.05
AutoGluon,"Sleep (Shuffled), Demo, Brain",3.47,4.20,-0.05,0.01,0.07
AutoGluon,"Sleep, APOE",3.89,5.02,-0.49,0.03,0.16
AutoGluon,"Sleep (Shuffled), APOE",4.38,5.50,-0.79,-0.05,0.05
AutoGluon,"Sleep, Demo, APOE",3.47,4.70,-0.31,-0.10,-0.13
AutoGluon,"Sleep (Shuffled), Demo, APOE",3.52,4.64,-0.27,-0.20,-0.24
AutoGluon,"Sleep, Demo, Brain, APOE",4.39,4.96,-0.46,-0.03,-0.00
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",4.56,5.20,-0.60,-0.03,-0.06
XGBoost,Sleep,5.06,5.82,-1.00,0.07,0.08
XGBoost,Demographic,3.62,5.07,-0.52,0.03,-0.02
XGBoost,"Sleep, Demo",3.42,4.27,-0.08,-0.01,0.06
XGBoost,"Sleep (Shuffled), Demo",3.46,4.72,-0.32,0.00,0.01
XGBoost,Brain,5.71,6.65,-1.62,-0.01,-0.00
XGBoost,"Sleep, Demo, Brain",4.47,5.10,-0.54,-0.05,-0.03
XGBoost,"Sleep (Shuffled), Demo, Brain",3.49,4.17,-0.03,0.02,0.08
XGBoost,"Sleep, APOE",4.30,4.85,-0.39,0.08,0.10
XGBoost,"Sleep (Shuffled), APOE",4.76,5.45,-0.76,0.12,0.10
XGBoost,"Sleep, Demo, APOE",3.51,4.22,-0.05,0.03,0.13
XGBoost,"Sleep (Shuffled), Demo, APOE",3.51,4.41,-0.15,-0.11,-0.05
XGBoost,"Sleep, Demo, Brain, APOE",4.51,5.18,-0.59,-0.02,-0.09
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",4.26,4.99,-0.48,-0.20,-0.29
