Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,11.91,13.93,-0.00,0.17,0.20
AutoGluon,Demographic,11.96,14.38,-0.07,0.25,0.25
AutoGluon,"Sleep, Demo",12.01,14.48,-0.08,0.08,0.08
AutoGluon,"Sleep (Shuffled), Demo",11.86,14.25,-0.05,0.28,0.19
AutoGluon,Brain,12.51,15.30,-0.21,0.09,0.07
AutoGluon,"Sleep, Demo, Brain",12.00,14.30,-0.06,0.09,0.04
AutoGluon,"Sleep (Shuffled), Demo, Brain",11.66,13.87,0.01,0.09,0.13
AutoGluon,"Sleep, APOE",12.00,14.02,-0.01,0.11,0.17
AutoGluon,"Sleep (Shuffled), APOE",12.14,14.10,-0.03,0.22,0.25
AutoGluon,"Sleep, Demo, APOE",12.56,15.32,-0.21,0.04,0.08
AutoGluon,"Sleep (Shuffled), Demo, APOE",12.02,14.61,-0.10,0.07,0.12
AutoGluon,"Sleep, Demo, Brain, APOE",12.13,14.50,-0.09,0.14,0.11
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",12.15,14.43,-0.08,0.07,0.02
XGBoost,Sleep,12.21,14.30,-0.06,0.13,0.06
XGBoost,Demographic,11.68,13.96,-0.01,0.17,0.19
XGBoost,"Sleep, Demo",11.82,14.24,-0.05,0.10,0.09
XGBoost,"Sleep (Shuffled), Demo",11.64,13.96,-0.01,0.17,0.24
XGBoost,Brain,13.70,16.87,-0.47,0.04,0.05
XGBoost,"Sleep, Demo, Brain",13.91,17.16,-0.52,0.06,0.08
XGBoost,"Sleep (Shuffled), Demo, Brain",11.60,13.91,0.00,0.05,0.06
XGBoost,"Sleep, APOE",12.06,14.10,-0.03,0.09,0.12
XGBoost,"Sleep (Shuffled), APOE",12.44,14.18,-0.04,0.05,0.03
XGBoost,"Sleep, Demo, APOE",11.70,13.82,0.01,0.12,0.05
XGBoost,"Sleep (Shuffled), Demo, APOE",11.59,14.20,-0.04,0.26,0.25
XGBoost,"Sleep, Demo, Brain, APOE",12.72,15.15,-0.19,-0.06,-0.10
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",12.04,14.28,-0.05,0.22,0.19
