Feature Combination,Model,Target,Performance Test Set MAE Pitts,Performance Test Set RMSE Pitts,Performance Test Set R2 Pitts,Performance Test Set Pearson r Pitts,Performance Test Set Pearson r p-value Pitts,Performance Test Set Spearman r Pitts,Performance Test Set Spearman r p-value Pitts
Brain,AutoGluon,Executive,5.996780721152701,6.938740538731838,-1.850779435136176,-0.1072463382463796,0.5045142387085602,-0.0577445637752095,0.7198864332428675
Brain,AutoGluon,Memory_Letter,16.745988241056118,18.9801151293525,-3.1148319437803123,0.085938149656928,0.593171803006258,0.1023457112890725,0.5242933319472751
Brain,AutoGluon,Memory_Spatial,12.511716809422296,15.299417877186412,-0.2085431677204392,0.0926891348377584,0.5643522930536544,0.0704378849260535,0.6616626566631105
Brain,XGBoost,Executive,5.705581758080459,6.652351057323131,-1.620309795194378,-0.0077569741548016,0.9616098375119692,-0.0048413887311532,0.9760339800920595
Brain,XGBoost,Memory_Letter,14.095651859190406,16.364327255009357,-2.0587975220776413,0.0122271369667407,0.9395197961039048,0.0620383249937186,0.6999959865630414
Brain,XGBoost,Memory_Spatial,13.69599798027508,16.872841365168515,-0.4699034210893555,0.0386114096033924,0.8105805454244708,0.0466081527122642,0.7723014942086013
Cov,AutoGluon,Executive,5.046059329335282,6.428958084251589,-1.4472791456314322,0.0441958141258156,0.7837974358264493,0.1690965045917341,0.2905590447842732
Cov,AutoGluon,Memory_Letter,27.456505752191312,29.102907020329614,-8.674469535097604,-0.1358756876770166,0.3969608865320199,-0.138709983707707,0.3870925775048481
Cov,AutoGluon,Memory_Spatial,11.957343939981673,14.379753617015409,-0.067616417715544,0.2522787789651679,0.1115474624977994,0.2501245789351775,0.1147410924876342
Cov,XGBoost,Executive,3.6152446560743376,5.065245959157152,-0.5191595861070786,0.0296455223791611,0.8540182356844745,-0.0162561610264289,0.9196475000122524
Cov,XGBoost,Memory_Letter,25.420465050674068,27.19392842305698,-7.446918773652641,-0.0967500334581643,0.547334842231594,-0.0701866381572432,0.6627975886931753
Cov,XGBoost,Memory_Spatial,11.678706356318846,13.959436978572995,-0.0061162389605664,0.1744379639691698,0.2753628646384907,0.1919472632580558,0.2292584380580769
Sleep,AutoGluon,Executive,4.491449635203292,5.351004259975495,-0.695402871372095,0.0505904167820428,0.7534298346376087,0.1367032127178361,0.3940646908874987
Sleep,AutoGluon,Memory_Letter,20.44442051212962,22.52150845290766,-4.793611489073241,0.0723655149528672,0.6529801655724693,0.0606363289486628,0.7064696426497947
Sleep,AutoGluon,Memory_Spatial,11.911656923548824,13.92581032470856,-0.0012748440662966,0.1717260212471262,0.2830117786876807,0.1981722583367326,0.2142210138208557
Sleep,XGBoost,Executive,5.060451228444169,5.81551085076793,-1.0025255305222474,0.0719616009516805,0.6547957991405279,0.0836349157956057,0.6031501317198285
Sleep,XGBoost,Memory_Letter,19.167634173137387,21.250447282112717,-4.15810963646694,0.1549668192997375,0.3333208991827871,0.1557829011674585,0.3307500276923418
Sleep,XGBoost,Memory_Spatial,12.213146285036023,14.302939900537387,-0.0562409027958499,0.1270079154670489,0.4287632071122215,0.0627783058395792,0.6965875497808165
Sleep_APOE,AutoGluon,Executive,3.893794269096561,5.019459648464475,-0.4918194169872698,0.0296494974939313,0.8539988726588612,0.1562448181417637,0.3293003474622956
Sleep_APOE,AutoGluon,Memory_Letter,21.66955622231088,23.80253902437613,-5.471440901746363,-0.0267157531948167,0.8683115672282223,0.0650175665894621,0.686309300642126
