Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,16.86,19.50,-1.84,0.00,-0.06
AutoGluon,Demographic,12.35,14.73,-0.62,0.03,0.02
AutoGluon,"Sleep, Demo",11.50,13.85,-0.44,0.03,0.03
AutoGluon,"Sleep (Shuffled), Demo",12.70,15.30,-0.75,-0.07,-0.06
AutoGluon,Brain,15.25,17.83,-1.38,0.05,0.05
AutoGluon,"Sleep, Demo, Brain",13.93,16.44,-1.02,0.01,0.01
AutoGluon,"Sleep (Shuffled), Demo, Brain",15.16,17.76,-1.36,-0.03,-0.03
AutoGluon,"Sleep, APOE",16.75,19.41,-1.82,-0.02,-0.07
AutoGluon,"Sleep (Shuffled), APOE",16.55,19.20,-1.76,-0.03,-0.06
AutoGluon,"Sleep, Demo, APOE",10.84,13.12,-0.29,0.02,0.03
AutoGluon,"Sleep (Shuffled), Demo, APOE",11.42,13.72,-0.41,0.01,0.01
AutoGluon,"Sleep, Demo, Brain, APOE",13.23,15.74,-0.85,0.03,0.02
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",13.71,16.22,-0.97,0.01,0.02
XGBoost,Sleep,17.72,20.37,-2.11,-0.03,-0.01
XGBoost,Demographic,12.10,14.45,-0.56,0.06,0.05
XGBoost,"Sleep, Demo",11.63,14.04,-0.47,0.05,0.05
XGBoost,"Sleep (Shuffled), Demo",19.51,22.10,-2.66,0.01,0.02
XGBoost,Brain,13.49,15.94,-0.90,0.03,0.03
XGBoost,"Sleep, Demo, Brain",12.92,15.44,-0.78,0.02,0.01
XGBoost,"Sleep (Shuffled), Demo, Brain",16.61,19.26,-1.78,-0.06,-0.05
XGBoost,"Sleep, APOE",18.64,21.26,-2.38,-0.04,-0.02
XGBoost,"Sleep (Shuffled), APOE",18.95,21.56,-2.48,0.02,0.01
XGBoost,"Sleep, Demo, APOE",14.31,16.88,-1.13,0.02,0.02
XGBoost,"Sleep (Shuffled), Demo, APOE",11.89,14.34,-0.54,0.04,0.04
XGBoost,"Sleep, Demo, Brain, APOE",13.24,15.74,-0.85,-0.03,-0.03
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",13.86,16.41,-1.01,0.05,0.05
