Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,26.38,28.54,-5.73,0.08,0.04
AutoGluon,Demographic,20.01,22.64,-3.23,0.03,0.02
AutoGluon,"Sleep, Demo",18.45,21.17,-2.71,0.03,0.03
AutoGluon,"Sleep (Shuffled), Demo",20.41,23.19,-3.45,-0.09*,-0.05
AutoGluon,Brain,24.26,26.61,-4.85,0.08,0.06
AutoGluon,"Sleep, Demo, Brain",22.44,24.89,-4.12,0.04,0.04
AutoGluon,"Sleep (Shuffled), Demo, Brain",24.22,26.55,-4.83,-0.03,-0.03
AutoGluon,"Sleep, APOE",26.26,28.43,-5.68,0.06,0.03
AutoGluon,"Sleep (Shuffled), APOE",25.97,28.17,-5.56,0.06,0.01
AutoGluon,"Sleep, Demo, APOE",17.00,19.83,-2.25,0.04,0.04
AutoGluon,"Sleep (Shuffled), Demo, APOE",18.15,20.92,-2.62,0.02,0.02
AutoGluon,"Sleep, Demo, Brain, APOE",21.47,23.98,-3.75,0.07,0.05
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",22.13,24.61,-4.01,0.05,0.04
XGBoost,Sleep,27.47,29.58,-6.23,0.01,0.06
XGBoost,Demographic,19.50,22.21,-3.08,0.03,0.02
XGBoost,"Sleep, Demo",18.51,21.33,-2.76,0.05,0.06
XGBoost,"Sleep (Shuffled), Demo",29.59,31.55,-7.23,-0.04,-0.03
XGBoost,Brain,21.82,24.34,-3.90,-0.01,-0.01
XGBoost,"Sleep, Demo, Brain",20.70,23.41,-3.53,0.03,0.02
XGBoost,"Sleep (Shuffled), Demo, Brain",26.11,28.31,-5.62,-0.02,-0.01
XGBoost,"Sleep, APOE",28.58,30.58,-6.73,0.09*,0.08
XGBoost,"Sleep (Shuffled), APOE",28.91,30.91,-6.89,0.07,0.06
XGBoost,"Sleep, Demo, APOE",23.09,25.50,-4.37,0.01,0.01
XGBoost,"Sleep (Shuffled), Demo, APOE",18.76,21.69,-2.89,0.03,0.03
XGBoost,"Sleep, Demo, Brain, APOE",21.17,23.79,-3.68,0.02,0.03
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",22.27,24.82,-4.09,0.06,0.07
