Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,20.19,21.36,-8.96,-0.05,-0.05
AutoGluon,Demographic,12.46,14.21,-3.41,0.11*,0.11*
AutoGluon,"Sleep, Demo",12.04,13.80,-3.16,0.05,0.06
AutoGluon,"Sleep (Shuffled), Demo",13.31,14.90,-3.85,0.13**,0.14**
AutoGluon,Brain,14.76,16.22,-4.74,0.19****,0.18****
AutoGluon,"Sleep, Demo, Brain",13.34,14.85,-3.82,0.15***,0.16***
AutoGluon,"Sleep (Shuffled), Demo, Brain",14.88,16.32,-4.82,0.06,0.08
AutoGluon,"Sleep, APOE",19.26,20.53,-8.21,-0.03,-0.02
AutoGluon,"Sleep (Shuffled), APOE",18.90,20.21,-7.92,-0.05,-0.03
AutoGluon,"Sleep, Demo, APOE",13.14,14.76,-3.76,0.08,0.10*
AutoGluon,"Sleep (Shuffled), Demo, APOE",12.70,14.27,-3.45,0.10*,0.11*
AutoGluon,"Sleep, Demo, Brain, APOE",13.30,14.82,-3.80,0.15***,0.16***
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",13.01,14.56,-3.63,0.14**,0.15***
XGBoost,Sleep,20.53,21.62,-9.20,0.03,0.03
XGBoost,Demographic,15.45,16.83,-5.19,0.15***,0.14**
XGBoost,"Sleep, Demo",17.75,18.97,-6.86,0.15***,0.15***
XGBoost,"Sleep (Shuffled), Demo",17.68,18.94,-6.83,0.13**,0.13**
XGBoost,Brain,14.77,16.27,-4.78,0.14**,0.15***
XGBoost,"Sleep, Demo, Brain",14.63,16.08,-4.64,0.14**,0.14**
XGBoost,"Sleep (Shuffled), Demo, Brain",15.01,16.44,-4.90,0.04,0.02
XGBoost,"Sleep, APOE",20.13,21.25,-8.86,-0.05,-0.06
XGBoost,"Sleep (Shuffled), APOE",20.43,21.54,-9.13,-0.03,-0.02
XGBoost,"Sleep, Demo, APOE",17.32,18.61,-6.56,0.05,0.04
XGBoost,"Sleep (Shuffled), Demo, APOE",15.89,17.29,-5.53,0.06,0.08
XGBoost,"Sleep, Demo, Brain, APOE",13.80,15.33,-4.13,0.12**,0.13**
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",15.81,17.24,-5.49,0.02,0.02
