Feature Combination,Model,Target,Performance Test Set MAE VETSA,Performance Test Set RMSE VETSA,Performance Test Set R2 VETSA,Performance Test Set Pearson r VETSA,Performance Test Set Pearson r p-value VETSA,Performance Test Set Spearman r VETSA,Performance Test Set Spearman r p-value VETSA
Brain,AutoGluon,Memory_Digit,15.250533739103656,17.83370862308956,-1.3807060315421458,0.0467121576109691,0.291913956276689,0.0464214542305388,0.2949307255013115
Brain,AutoGluon,Memory_Letter,24.25719245552672,26.61228907509301,-4.853507902353685,0.0773072575160112,0.0808303598884811,0.0567576641117072,0.2002234446768547
Brain,AutoGluon,Stroop,14.755239350916806,16.215398439785535,-4.74197122790108,0.1854058643628802,2.4701068692121567e-05,0.1814906437115024,3.6764303276130326e-05
Brain,XGBoost,Memory_Digit,13.486865250798358,15.937244044219456,-0.9012922805639016,0.0324652371675538,0.4639961453625407,0.0309537905422238,0.4850685466643896
Brain,XGBoost,Memory_Letter,21.81921138339339,24.33877488160965,-3.8960875140491487,-0.0100222007219148,0.8211969079589869,-0.0116115283812261,0.7934384672306127
Brain,XGBoost,Stroop,14.772204011986544,16.269307634176055,-4.780213839827019,0.1388719763169651,0.0016505835471917,0.1499620640940998,0.0006716747241844
Cov,AutoGluon,Memory_Digit,12.354133877191217,14.731135097890792,-0.6244070429917461,0.031552483160864,0.4766603973809237,0.0223831128351123,0.6136983871144704
Cov,AutoGluon,Memory_Letter,20.01141808380344,22.635419616272717,-3.234760408436636,0.0349603699791813,0.4303483555273171,0.0190656193540808,0.6672190302155993
Cov,AutoGluon,Stroop,12.457189623722886,14.205272374237516,-3.406612821577124,0.107169420650249,0.01536545897596,0.1086786298011092,0.0139720232051824
Cov,XGBoost,Memory_Digit,12.102855065253072,14.450724851542372,-0.5631537718120041,0.0556827915844042,0.2088915338085017,0.0503951928088038,0.2554832257231272
Cov,XGBoost,Memory_Letter,19.49929878583645,22.209517403220648,-3.076899332123495,0.0337115208063819,0.4470099891468979,0.0205936258864264,0.6423364843607283
Cov,XGBoost,Stroop,15.448956755037862,16.83402597318207,-5.18844803998056,0.1514461976247038,0.0005926922110599,0.1390551039293971,0.0016270848949605
Sleep,AutoGluon,Memory_Digit,16.86200041002646,19.4951791979589,-1.8449648309013469,0.0038380446806349,0.9310307732847104,-0.0578695315137002,0.1915356416536444
Sleep,AutoGluon,Memory_Letter,26.380787114319563,28.537169188211145,-5.730905984344085,0.0800540947340866,0.0705880365035184,0.0426211641816004,0.3362796675708115
Sleep,AutoGluon,Stroop,20.19221052332525,21.356402662697683,-8.960060220825383,-0.0461559047741505,0.2977045997912712,-0.0542244767018659,0.2210806512450223
Sleep,XGBoost,Memory_Digit,17.724878742892376,20.36677554690289,-2.105038528979762,-0.0323384951118383,0.4657434168103767,-0.0128111218192616,0.7726563630721286
Sleep,XGBoost,Memory_Letter,27.47287619811617,29.57889129843016,-6.231285812351835,0.0062391452073899,0.8881118574655052,0.0582313663558161,0.1887688862464383
Sleep,XGBoost,Stroop,20.526398152263518,21.61689200579648,-9.20451265991681,0.0296447455585914,0.5037286636804043,0.0330131819706412,0.4564841833407006
Sleep_APOE,AutoGluon,Memory_Digit,16.749913172712535,19.40741243435064,-1.8194065842262943,-0.0237723024577214,0.5918617947484651,-0.0676720051930792,0.1265741118245547
Sleep_APOE,AutoGluon,Memory_Letter,26.25525507229584,28.432574292372852,-5.68165595426289,0.0565210168728202,0.2021089927760401,0.0267653035615959,0.546066779659791
Sleep_APOE,AutoGluon,Stroop,19.258265776385848,20.53199406142829,-8.205937518124003,-0.030278650492889,0.49464560886257,-0.0196895561118745,0.6570125407014606
Sleep_APOE,XGBoost,Memory_Digit,18.6402266988238,21.260501553992626,-2.3835254726490804,-0.0390041264610629,0.3789265149504801,-0.024596833874855,0.5790716171499753
Sleep_APOE,XGBoost,Memory_Letter,28.581195728864515,30.5805681058984,-6.729347674237095,0.0912480288443989,0.0392132867576975,0.0831513850964496,0.0603383018745427
Sleep_APOE,XGBoost,Stroop,20.129068370176935,21.24606322536051,-8.857407310792995,-0.0502494057701561,0.256862520663881,-0.055089390610484,0.2137914792103817
Sleep_APOE_Shuffle,AutoGluon,Memory_Digit,16.55205509760609,19.19765323008632,-1.7587905162441966,-0.0264380884150305,0.5509869828248545,-0.0554021291740875,0.21119886688808
