ROIid;ROIabbr;ROIname;ROIcolor
1;lVis_1;7Networks_LH_Vis_1;120 18 131
2;lVis_2;7Networks_LH_Vis_2;120 18 132
3;lVis_3;7Networks_LH_Vis_3;120 18 133
4;lVis_4;7Networks_LH_Vis_4;120 18 135
5;lVis_5;7Networks_LH_Vis_5;120 18 136
6;lVis_6;7Networks_LH_Vis_6;120 18 137
7;lVis_7;7Networks_LH_Vis_7;120 18 138
8;lVis_8;7Networks_LH_Vis_8;120 18 139
9;lVis_9;7Networks_LH_Vis_9;120 18 140
10;lSomMot_1;7Networks_LH_SomMot_1;70 130 179
11;lSomMot_2;7Networks_LH_SomMot_2;70 130 181
12;lSomMot_3;7Networks_LH_SomMot_3;70 130 182
13;lSomMot_4;7Networks_LH_SomMot_4;70 130 183
14;lSomMot_5;7Networks_LH_SomMot_5;70 130 184
15;lSomMot_6;7Networks_LH_SomMot_6;70 130 185
16;lDorsAttn_Post_1;7Networks_LH_DorsAttn_Post_1;0 118 13
17;lDorsAttn_Post_2;7Networks_LH_DorsAttn_Post_2;0 118 15
18;lDorsAttn_Post_3;7Networks_LH_DorsAttn_Post_3;0 118 16
19;lDorsAttn_Post_4;7Networks_LH_DorsAttn_Post_4;0 118 17
20;lDorsAttn_Post_5;7Networks_LH_DorsAttn_Post_5;0 118 18
21;lDorsAttn_Post_6;7Networks_LH_DorsAttn_Post_6;0 118 19
22;lDorsAttn_PrCv_1;7Networks_LH_DorsAttn_PrCv_1;0 118 20
23;lDorsAttn_FEF_1;7Networks_LH_DorsAttn_FEF_1;0 118 21
24;lSalVentAttn_ParOper_1;7Networks_LH_SalVentAttn_ParOper_1;196 58 251
25;lSalVentAttn_FrOperIns_1;7Networks_LH_SalVentAttn_FrOperIns_1;196 59 251
26;lSalVentAttn_FrOperIns_2;7Networks_LH_SalVentAttn_FrOperIns_2;196 59 252
27;lSalVentAttn_PFCl_1;7Networks_LH_SalVentAttn_PFCl_1;196 59 253
28;lSalVentAttn_Med_1;7Networks_LH_SalVentAttn_Med_1;197 58 251
29;lSalVentAttn_Med_2;7Networks_LH_SalVentAttn_Med_2;197 58 252
30;lSalVentAttn_Med_3;7Networks_LH_SalVentAttn_Med_3;197 58 253
31;lLimbic_OFC_1;7Networks_LH_Limbic_OFC_1;220 248 165
32;lLimbic_TempPole_1;7Networks_LH_Limbic_TempPole_1;220 248 166
33;lLimbic_TempPole_2;7Networks_LH_Limbic_TempPole_2;220 248 167
34;lCont_Par_1;7Networks_LH_Cont_Par_1;230 148 35
35;lCont_PFCl_1;7Networks_LH_Cont_PFCl_1;230 149 36
36;lCont_pCun_1;7Networks_LH_Cont_pCun_1;231 149 35
37;lCont_Cing_1;7Networks_LH_Cont_Cing_1;231 149 36
38;lDefault_Temp_1;7Networks_LH_Default_Temp_1;205 62 80
39;lDefault_Temp_2;7Networks_LH_Default_Temp_2;205 62 81
40;lDefault_Par_1;7Networks_LH_Default_Par_1;205 62 82
41;lDefault_Par_2;7Networks_LH_Default_Par_2;205 62 83
42;lDefault_PFC_1;7Networks_LH_Default_PFC_1;205 63 76
43;lDefault_PFC_2;7Networks_LH_Default_PFC_2;205 63 77
44;lDefault_PFC_3;7Networks_LH_Default_PFC_3;205 63 79
45;lDefault_PFC_4;7Networks_LH_Default_PFC_4;205 63 80
46;lDefault_PFC_5;7Networks_LH_Default_PFC_5;205 63 81
47;lDefault_PFC_6;7Networks_LH_Default_PFC_6;205 63 82
48;lDefault_PFC_7;7Networks_LH_Default_PFC_7;205 63 83
49;lDefault_pCunPCC_1;7Networks_LH_Default_pCunPCC_1;205 63 84
50;lDefault_pCunPCC_2;7Networks_LH_Default_pCunPCC_2;205 63 85
51;rVis_1;7Networks_RH_Vis_1;124 18 133
52;rVis_2;7Networks_RH_Vis_2;124 18 134
53;rVis_3;7Networks_RH_Vis_3;124 18 136
54;rVis_4;7Networks_RH_Vis_4;124 18 137
55;rVis_5;7Networks_RH_Vis_5;124 18 138
56;rVis_6;7Networks_RH_Vis_6;124 18 139
57;rVis_7;7Networks_RH_Vis_7;124 18 140
58;rVis_8;7Networks_RH_Vis_8;124 18 141
59;rSomMot_1;7Networks_RH_SomMot_1;74 130 179
60;rSomMot_2;7Networks_RH_SomMot_2;74 130 180
61;rSomMot_3;7Networks_RH_SomMot_3;74 130 182
62;rSomMot_4;7Networks_RH_SomMot_4;74 130 183
63;rSomMot_5;7Networks_RH_SomMot_5;74 130 184
64;rSomMot_6;7Networks_RH_SomMot_6;74 130 185
65;rSomMot_7;7Networks_RH_SomMot_7;74 130 186
66;rSomMot_8;7Networks_RH_SomMot_8;74 130 187
67;rDorsAttn_Post_1;7Networks_RH_DorsAttn_Post_1;4 119 14
68;rDorsAttn_Post_2;7Networks_RH_DorsAttn_Post_2;4 119 16
69;rDorsAttn_Post_3;7Networks_RH_DorsAttn_Post_3;4 119 17
70;rDorsAttn_Post_4;7Networks_RH_DorsAttn_Post_4;4 119 18
71;rDorsAttn_Post_5;7Networks_RH_DorsAttn_Post_5;4 119 19
72;rDorsAttn_PrCv_1;7Networks_RH_DorsAttn_PrCv_1;5 118 15
73;rDorsAttn_FEF_1;7Networks_RH_DorsAttn_FEF_1;5 118 16
74;rSalVentAttn_TempOccPar_1;7Networks_RH_SalVentAttn_TempOccPar_1;201 58 252
75;rSalVentAttn_TempOccPar_2;7Networks_RH_SalVentAttn_TempOccPar_2;201 58 253
76;rSalVentAttn_FrOperIns_1;7Networks_RH_SalVentAttn_FrOperIns_1;201 59 252
77;rSalVentAttn_Med_1;7Networks_RH_SalVentAttn_Med_1;200 57 250
78;rSalVentAttn_Med_2;7Networks_RH_SalVentAttn_Med_2;200 57 251
79;rLimbic_OFC_1;7Networks_RH_Limbic_OFC_1;224 249 165
80;rLimbic_TempPole_1;7Networks_RH_Limbic_TempPole_1;224 249 166
81;rCont_Par_1;7Networks_RH_Cont_Par_1;234 147 35
82;rCont_Par_2;7Networks_RH_Cont_Par_2;234 147 36
83;rCont_PFCl_1;7Networks_RH_Cont_PFCl_1;233 148 34
84;rCont_PFCl_2;7Networks_RH_Cont_PFCl_2;233 148 35
85;rCont_PFCl_3;7Networks_RH_Cont_PFCl_3;233 148 36
86;rCont_PFCl_4;7Networks_RH_Cont_PFCl_4;233 148 37
87;rCont_Cing_1;7Networks_RH_Cont_Cing_1;234 148 37
88;rCont_PFCmp_1;7Networks_RH_Cont_PFCmp_1;234 148 38
89;rCont_pCun_1;7Networks_RH_Cont_pCun_1;234 148 39
90;rDefault_Par_1;7Networks_RH_Default_Par_1;209 62 78
91;rDefault_Temp_1;7Networks_RH_Default_Temp_1;209 61 79
92;rDefault_Temp_2;7Networks_RH_Default_Temp_2;209 61 80
93;rDefault_Temp_3;7Networks_RH_Default_Temp_3;209 61 81
94;rDefault_PFCv_1;7Networks_RH_Default_PFCv_1;209 61 78
95;rDefault_PFCv_2;7Networks_RH_Default_PFCv_2;209 61 82
96;rDefault_PFCdPFCm_1;7Networks_RH_Default_PFCdPFCm_1;208 62 79
97;rDefault_PFCdPFCm_2;7Networks_RH_Default_PFCdPFCm_2;208 62 80
98;rDefault_PFCdPFCm_3;7Networks_RH_Default_PFCdPFCm_3;208 62 81
99;rDefault_pCunPCC_1;7Networks_RH_Default_pCunPCC_1;208 62 78
100;rDefault_pCunPCC_2;7Networks_RH_Default_pCunPCC_2;208 62 82
